Source,Target,Weight,Type
汤成兰,沙瑞金,1,undirected
汤成兰,蔡成功,1,undirected
汤成兰,郑西坡,1,undirected
汤成兰,王文革,1,undirected
陈文强,侯亮平,1,undirected
陈文强,丁义珍,1,undirected
陈文强,蔡成功,1,undirected
陈文强,陈海,1,undirected
秦奔,陈清泉,1,undirected
钱律师,陈岩石,1,undirected
钱律师,王文革,1,undirected
钱律师,蔡英俊,1,undirected
赵德汉妻,侯亮平,1,undirected
赵德汉妻,赵德汉,1,undirected
张树立,沙瑞金,1,undirected
张树立,李达康,1,undirected
张树立,高育良,1,undirected
张树立,季昌明,1,undirected
张树立,孙连城,1,undirected
张树立,丁义珍,1,undirected
张树立,陈清泉,1,undirected
张树立,孙海平,1,undirected
司机小钱,侯亮平,2,undirected
司机小钱,陆亦可,1,undirected
司机小钱,季昌明,1,undirected
司机小钱,陈岩石,1,undirected
司机小钱,蔡成功,2,undirected
司机小钱,陈群芳,1,undirected
司机小钱,尤瑞星,1,undirected
刘生,赵瑞龙,3,undirected
刘生,杜伯仲,3,undirected
吴春林,沙瑞金,2,undirected
吴春林,高育良,1,undirected
吴春林,祁同伟,2,undirected
吴春林,易学习,1,undirected
吴春林,田国富,2,undirected
蔡英俊,祁同伟,1,undirected
蔡英俊,赵瑞龙,1,undirected
蔡英俊,陈岩石,1,undirected
蔡英俊,王文革,2,undirected
交警,李达康,1,undirected
交警,赵东来,1,undirected
交警,陈岩石,1,undirected
交警,程度,1,undirected
交警,郑西坡,1,undirected
交警,张宝宝,1,undirected
交警,尤瑞星,1,undirected
王馥真,侯亮平,2,undirected
王馥真,沙瑞金,1,undirected
王馥真,高育良,1,undirected
王馥真,陈岩石,4,undirected
王馥真,陈海,2,undirected
王馥真,陈清泉,1,undirected
王馥真,郑西坡,1,undirected
毕敬业,祁同伟,2,undirected
毕敬业,丁义珍,2,undirected
何阿三,丁义珍,3,undirected
雷警官,程度,1,undirected
雷警官,郑西坡,1,undirected
雷警官,林华华,1,undirected
孙海平,李达康,1,undirected
孙海平,陈清泉,3,undirected
王经理,侯亮平,3,undirected
王经理,赵东来,2,undirected
王经理,程度,3,undirected
秦思远,侯亮平,4,undirected
秦思远,钟小艾,1,undirected
秦思远,陈岩石,1,undirected
秦思远,陈海,3,undirected
钱秘书长,李达康,1,undirected
钱秘书长,高育良,3,undirected
钱秘书长,祁同伟,1,undirected
钱秘书长,易学习,3,undirected
吴心仪,侯亮平,3,undirected
吴心仪,陆亦可,3,undirected
吴心仪,季昌明,3,undirected
